title,year,kind,KMRB,genre,country,cast,director,runtime(min),provider
브레이크: 하이더펠트 살인 사건 시즌 2(The Break),2018,TV,청소년관람불가,"['드라마', '스릴러', '범죄']",['벨기에'],['요안 블랑'],"['스테판 베르그만스', '뱅자맹 다우스트', '마티외 동크']",,['넷플릭스']
응답하라 1988(Reply 1988),2015,TV,15세이상관람가,"['코미디', '가족']",['한국'],"['이혜리', '류준열', '박보검', '성동일', '이일화', '라미란', '김성균']",['신원호'],,['티빙']
체르노빌(Chernobyl),2019,TV,15세이상관람가,"['드라마', '스릴러', '서사']","['미국', '영국']","['제시 버클리', '자레드 해리스', '스텔란 스카스가드', '에밀리 왓슨', '콘 오닐 ', '아담 나가이티스', '폴 리터']",['요한 렌크'],,"['웨이브', '왓챠']"
괴물(Beyond Evil),2021,TV,15세이상관람가,['드라마'],['한국'],"['신하균', '여진구', '최대훈', '최성은', '천호진', '최진호', '길해연']",['심나연'],,"['넷플릭스', '티빙', '티빙 (무삭제)', '디즈니+', 'seezn', 'seezn (무삭제)']"
구경이(Inspector Koo),2021,TV,청소년관람불가,['드라마'],['한국'],"['이영애', '김혜준', '곽선영', '김해숙', '이홍내', '백성철', '조현철']",['이정흠'],,"['넷플릭스', '티빙', 'seezn']"
강철의 연금술사: 브라더후드(Fullmetal Alchemist: Brotherhood),2009,TV,청소년관람불가,"['액션', '어드벤처(모험)', '애니메이션']",['일본'],"['박로미', '쿠기미야 리에', '미키 신이치로', '타카모토 메구미', '미야케 켄타', '오리카사 후미코', '미야노 마모루']",['이리에 야스히로'],,"['넷플릭스', '웨이브', '티빙', '왓챠', '쿠팡플레이', '라프텔 (더빙)']"
그림자 미녀(Shadow Beauty),2021,TV,15세이상관람가,['드라마'],['한국'],"['심달기', '최보민', '허정희', '이나경', '홍석']",[],,['왓챠']
쇼윈도:여왕의 집(Show Window: The Queen's House),2021,TV,15세이상관람가,['드라마'],['한국'],"['송윤아', '이성재', '전소민', '황찬성', '김승수', '문희경']","['강솔', '박대희']",,['웨이브']
위쳐 시즌 2(The Witcher),2021,TV,청소년관람불가,['판타지'],"['미국', '폴란드']","['헨리 카빌', '프레이아 앨런', '애니아 철로트라', '바실 아이덴벤츠', '메시아 심슨']",['에드워드 바잘제트'],,['넷플릭스']
"지금, 헤어지는 중입니다(Now, We Are Breaking Up)",2021,TV,15세이상관람가,['드라마'],['한국'],"['송혜교', '장기용', '최희서', '김주헌', '박효주', '윤나무', '주진모']",['이길복'],,"['웨이브', '쿠팡플레이']"
나의 아저씨(My Mister),2018,TV,15세이상관람가,['드라마'],['한국'],"['이선균', '이지은', '고두심', '박호산', '송새벽', '이지아', '정영주']",['김원석'],,"['넷플릭스', '티빙']"
신사와 아가씨(Young lady and gentleman),2021,TV,15세이상관람가,['드라마'],['한국'],"['지현우', '이세희', '강은탁', '박하나', '안우연', '윤진이', '김영옥', '차화연']",[],,"['웨이브', 'seezn']"
피의 게임(Game Of Blood),2021,TV,15세이상관람가,['예능'],['한국'],"['장동민', '이상민', '박지윤', '슈카', '최예나']",[],,"['웨이브', 'seezn']"
스트릿댄스 걸스 파이터(),2021,TV,15세이상관람가,['예능'],['한국'],"['모니카', '허니제이', '아이키', '리헤이', '효진초이', '가비', '노제', '리정']",[],,['티빙']
호텔 델루나(Hotel Del Luna),2019,TV,15세이상관람가,"['멜로/로맨스', '공포(호러)', '판타지']",['한국'],"['이지은', '여진구', '조현철', '박유나', '신정근', '배해선', '피오']",['오충환'],,"['넷플릭스', '티빙']"
철인왕후(Mr. Queen),2020,TV,15세이상관람가,['드라마'],['한국'],"['신혜선', '김정현', '배종옥', '김태우', '설인아', '나인우']","['윤성식', '장양호']",,['티빙']
모던 패밀리 시즌 1(Modern Family),2009,TV,15세이상관람가,"['드라마', '코미디']",['미국'],"['에드 오닐 ', '소피아 베르가라', '줄리 보웬', '타이 버렐', '제시 테일러 퍼거슨', '에릭 스톤스트릿', '리코 로드리게스']",['게일 맨쿠소'],,"['넷플릭스', '디즈니+']"
엉클(),2021,TV,15세이상관람가,['드라마'],['한국'],"['오정세', '전혜진', '박선영', '이상우', '황우슬혜', '장희령']",[],,['웨이브']
상견니(Someday or One Day),2019,TV,15세이상관람가,"['드라마', '멜로/로맨스']",['대만'],"['가가연', '허광한', '시백우', '안육린', '장광진', '곽문이', '임자산']",['황덴닌'],,"['넷플릭스', '웨이브', '티빙', '왓챠', '쿠팡플레이']"
빅 리틀 라이즈 시즌 1(Big Little Lies),2017,TV,15세이상관람가,"['드라마', '미스터리']",['미국'],"['니콜 키드먼', '리즈 위더스푼', '쉐일린 우들리', '조 크라비츠 ']",['장 마크 발레'],,"['웨이브', '왓챠']"
강철의 연금술사(Fullmetal Alchemist),2003,TV,12세이상관람가,"['액션', '어드벤처(모험)', '애니메이션']",['일본'],"['박로미', '쿠기미야 리에', '토요구치 메구미', '오카와 토루']",['미즈시마 세이지'],,['넷플릭스']
D.P.(),2021,TV,15세이상관람가,['드라마'],['한국'],"['정해인', '구교환', '김성균', '손석구', '신승호', '조현철', '현봉식']",['한준희'],,['넷플릭스']
갯마을 차차차(Hometown Cha-Cha-Cha),2021,TV,15세이상관람가,['드라마'],['한국'],"['신민아', '김선호', '이상이', '공민정', '서상원', '우미화', '박예영']",['유제원'],,"['넷플릭스', '티빙']"
프리즌 브레이크 시즌 1(Prison Break),2005,TV,15세이상관람가,"['드라마', '액션', '범죄']",['미국'],"['웬트워스 밀러', '도미닉 퍼셀', '사라 웨인 콜리스', '웨이드 윌리암스 ']",['폴 쉐어링'],,"['넷플릭스', '디즈니+']"
연애의 발견(),2014,TV,15세이상관람가,"['드라마', '멜로/로맨스']",['한국'],"['정유미', '문정혁', '성준', '윤진이', '윤현민', '김슬기']","['이응복', '김성윤']",,"['웨이브', '왓챠', '쿠팡플레이']"
멜랑꼴리아(Melancholia),2021,TV,15세이상관람가,['드라마'],['한국'],"['임수정', '이도현', '진경', '최대훈', '우다비', '장현성', '김호진']",['김상협'],,['티빙']
사마귀(La Mante),2017,TV,청소년관람불가,"['드라마', '범죄']",['프랑스'],"['캐롤 부케 ', '프레드 테스토']",['알렉산드 라우렌'],,['넷플릭스']
방과후 설렘(),2021,TV,12세이상관람가,['예능'],['한국'],"['윤균상', '옥주현', '권유리', '아이키', '소연', '영지', '리사', '한해']",[],,['웨이브']
미생(Misaeng),2014,TV,15세이상관람가,['드라마'],['한국'],"['임시완', '이성민', '강소라', '강하늘', '김대명', '변요한', '신은정']",['김원석'],,"['넷플릭스', '티빙']"
시그널(Signal),2016,TV,15세이상관람가,"['스릴러', '범죄', '판타지', 'SF']",['한국'],"['이제훈', '김혜수', '조진웅', '장현성', '정해균', '김원해', '정한비']",['김원석'],,"['넷플릭스', '티빙']"
퀸스 갬빗(The Queen's Gambit),2020,TV,청소년관람불가,['드라마'],['미국'],"['안야 테일러 조이', '모시스 잉그램', '빌 캠프', '토마스 생스터', '마리엘 헬러', '해리 멜링 ', '클로이 피리']",['스콧 프랭크'],,['넷플릭스']
응답하라 1997(),2012,TV,15세이상관람가,"['드라마', '멜로/로맨스']",['한국'],"['정은지', '서인국', '신소율', '은지원', '이호원', '이시언']","['신원호', '박성재']",,['티빙']
악의 꽃(Flower of Evil),2020,TV,15세이상관람가,['드라마'],['한국'],"['이준기', '문채원', '장희진', '서현우', '손종학', '남기애', '조경숙']",['김철규'],,['티빙']
지리산(Jirisan),2021,TV,15세이상관람가,"['드라마', '미스터리']",['한국'],"['전지현', '주지훈', '성동일', '오정세', '조한철', '주민경', '고민시']",['이응복'],,['티빙']
대시 & 릴리(Dash & Lily),2020,TV,12세이상관람가,"['드라마', '코미디', '멜로/로맨스']",['미국'],"['오스틴 에이브람스', '단테 브라운', '미도리 프란시스']",['프레드 세비지'],,['넷플릭스']
크리미널 저스티스 시즌 1(Criminal Justice),2008,TV,청소년관람불가,['드라마'],['영국'],[],[],,"['웨이브', '왓챠', '쿠팡플레이']"
비틀즈: 겟 백(The Beatles: Get Back),2021,TV,12세이상관람가,"['다큐멘터리', '음악']","['미국', '영국', '뉴질랜드']","['존 레논', '폴 매카트니', '조지 해리슨 ', '링고 스타 ']",[],,['디즈니+']
꽃 피면 달 생각하고(Moonshine),2021,TV,15세이상관람가,"['드라마', '멜로/로맨스']",['한국'],"['유승호', '이혜리', '변우석', '강미나', '장광', '최원영', '박아인']",['황인혁'],,['웨이브']
쓸쓸하고 찬란하神 - 도깨비(Goblin: The Lonely and Great God),2016,TV,15세이상관람가,"['드라마', '코미디', '멜로/로맨스', '판타지']",['한국'],"['공유', '이동욱', '김고은', '유인나', '육성재']","['이응복', '권혁찬', '윤종호']",,"['넷플릭스', '티빙']"
귀멸의 칼날: 카마도 탄지로 입지 편(Demon Slayer: Kimetsu no Yaiba),2019,TV,청소년관람불가,['애니메이션'],['일본'],"['하나에 나츠키', '키토 아카리', '시모노 히로', '마츠오카 요시츠구', '사쿠라이 타카히로', '오오츠카 호츄', '카지 유우키']",['소토자키 하루오'],,"['넷플릭스', '웨이브', '웨이브', '티빙', '왓챠', '쿠팡플레이', '라프텔 (무삭제)']"
브리저튼(Bridgerton),2020,TV,청소년관람불가,"['드라마', '멜로/로맨스']",['미국'],"['피비 디네버', '레지 장 페이지', '루스 겜멜', '조나단 베일리', '루크 톰프슨', '루크 뉴턴', '클라우디아 제시']",['쉐리 폭슨'],,['넷플릭스']
오월의 청춘(The Youth of May),2021,TV,15세이상관람가,['드라마'],['한국'],"['이도현', '고민시', '이상이', '금새록', '오만석', '김원해', '엄효섭']",['송민엽'],,['웨이브']
내가 그녀를 만났을 때 시즌 1(How I Met Your Mother),2005,TV,15세이상관람가,"['코미디', '멜로/로맨스']",['미국'],"['조쉬 래드너', '제이슨 세걸', '코비 스멀더스', '닐 패트릭 해리스', '앨리슨 해니건', '린지 폰세카', '다비드 로렌조 ']",['파멜라 프라이먼'],,"['넷플릭스', '디즈니+']"
이렇게 된 이상 청와대로 간다(),2021,TV,15세이상관람가,['드라마'],['한국'],"['김성령', '백현진', '배해선', '이학주', '정승길', '이채은', '허정도']",['윤성호'],,"['웨이브 (자막)', '웨이브']"
그냥 사랑하는 사이(Rain or Shine),2017,TV,15세이상관람가,['드라마'],['한국'],"['준호', '원진아', '이기우', '강한나', '나문희', '윤유선', '안내상']",['김진원'],,"['넷플릭스', '티빙', 'seezn']"
크리미널 저스티스 시즌 2(Criminal Justice),2009,TV,청소년관람불가,['드라마'],['영국'],[],[],,"['웨이브', '왓챠', '쿠팡플레이']"
슬기로운 의사생활(Hospital Playlist),2020,TV,15세이상관람가,['드라마'],['한국'],"['조정석', '유연석', '정경호', '김대명', '전미도', '곽선영', '신현빈']",['신원호'],,"['넷플릭스', '티빙']"
스토브리그(STOVE LEAGUE),2019,TV,15세이상관람가,['드라마'],['한국'],"['남궁민', '박은빈', '오정세', '조병규', '손종학', '이준혁', '윤병희']",['정동윤'],,"['웨이브', '왓챠', '쿠팡플레이', 'seezn']"
셜록 시즌2(Sherlock),2012,TV,12세이상관람가,"['드라마', '코미디', '스릴러', '범죄']",['영국'],"['베네딕트 컴버배치 ', '앤드류 스캇', '마틴 프리먼 ', '루퍼트 그레이브즈 ', '루 브릴리', '우나 스텁스']","['마크 게이티스', '스티븐 모팻']",,['넷플릭스']
마이 네임(My Name),2021,TV,청소년관람불가,"['드라마', '액션']",['한국'],"['한소희', '박희순', '안보현', '김상호', '이학주', '장률', '윤경호']",['김진민'],,['넷플릭스']
치아문단순적소미호(A love so beautiful),2017,TV,15세이상관람가,"['드라마', '멜로/로맨스']",['중국'],"['심월', '손녕', '호일천', '고지정', '왕재미']",[],,"['넷플릭스', '웨이브', '티빙', '왓챠']"
